Date,Ticker,Price_x,Return,Symbol,Name,Sector,Price_y,Price/Earnings,Dividend_Yield,Earnings/Share,52_Week_Low,52_Week_High,Market_Cap
2024-12-01,AAPL,249.5341796875,,AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020.0
2025-01-01,AAPL,235.16519165039065,-0.0575832459308945,AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020.0
2025-02-01,AAPL,240.98452758789065,0.0247457368016918,AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020.0
2025-03-01,AAPL,221.58761596679688,-0.0804902780076594,AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020.0
2025-04-01,AAPL,211.9811248779297,-0.0433530143232672,AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020.0
2025-05-01,AAPL,200.3595733642578,-0.0548235203505227,AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020.0
2025-06-01,AAPL,204.9374084472656,0.022848097578473,AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020.0
2025-07-01,AAPL,207.334701538086,0.0116976842294618,AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020.0
2025-08-01,AAPL,231.87684631347656,0.1183696920647041,AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020.0
2025-09-01,AAPL,254.6300048828125,0.0981260480771577,AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020.0
2025-10-01,AAPL,270.3699951171875,0.0618151432766886,AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020.0
2025-11-01,AAPL,270.0400085449219,-0.0012204999749421,AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020.0
2024-12-01,MSFT,419.1965637207031,,MSFT,Microsoft Corp.,Information Technology,85.01,25.76,1.8747908,2.97,96.07,63.22,689978437468.0
2025-01-01,MSFT,412.791748046875,-0.0152787885878173,MSFT,Microsoft Corp.,Information Technology,85.01,25.76,1.8747908,2.97,96.07,63.22,689978437468.0
2025-02-01,MSFT,394.8204956054688,-0.0435358810500384,MSFT,Microsoft Corp.,Information Technology,85.01,25.76,1.8747908,2.97,96.07,63.22,689978437468.0
2025-03-01,MSFT,374.087158203125,-0.0525133260129989,MSFT,Microsoft Corp.,Information Technology,85.01,25.76,1.8747908,2.97,96.07,63.22,689978437468.0
2025-04-01,MSFT,393.88818359375,0.0529315828047571,MSFT,Microsoft Corp.,Information Technology,85.01,25.76,1.8747908,2.97,96.07,63.22,689978437468.0
2025-05-01,MSFT,458.76220703125,0.1647016238100964,MSFT,Microsoft Corp.,Information Technology,85.01,25.76,1.8747908,2.97,96.07,63.22,689978437468.0
2025-06-01,MSFT,496.5936584472656,0.0824641847915745,MSFT,Microsoft Corp.,Information Technology,85.01,25.76,1.8747908,2.97,96.07,63.22,689978437468.0
2025-07-01,MSFT,532.6243896484375,0.0725557618150656,MSFT,Microsoft Corp.,Information Technology,85.01,25.76,1.8747908,2.97,96.07,63.22,689978437468.0
2025-08-01,MSFT,505.8584289550781,-0.0502529760438241,MSFT,Microsoft Corp.,Information Technology,85.01,25.76,1.8747908,2.97,96.07,63.22,689978437468.0
2025-09-01,MSFT,517.9500122070312,0.0239030973091225,MSFT,Microsoft Corp.,Information Technology,85.01,25.76,1.8747908,2.97,96.07,63.22,689978437468.0
2025-10-01,MSFT,517.8099975585938,-0.0002703246358483,MSFT,Microsoft Corp.,Information Technology,85.01,25.76,1.8747908,2.97,96.07,63.22,689978437468.0
2025-11-01,MSFT,514.3300170898438,-0.0067205741201553,MSFT,Microsoft Corp.,Information Technology,85.01,25.76,1.8747908,2.97,96.07,63.22,689978437468.0
2024-12-01,TSLA,403.8399963378906,,,,,,,,,,,
2025-01-01,TSLA,404.6000061035156,0.0018819576379678,,,,,,,,,,
2025-02-01,TSLA,292.9800109863281,-0.2758773935575025,,,,,,,,,,
2025-03-01,TSLA,259.1600036621094,-0.1154345213189201,,,,,,,,,,
2025-04-01,TSLA,282.1600036621094,0.0887482623668549,,,,,,,,,,
2025-05-01,TSLA,346.4599914550781,0.2278848417863253,,,,,,,,,,
2025-06-01,TSLA,317.6600036621094,-0.0831264460638392,,,,,,,,,,
2025-07-01,TSLA,308.2699890136719,-0.0295599525914049,,,,,,,,,,
2025-08-01,TSLA,333.8699951171875,0.0830441074897507,,,,,,,,,,
2025-09-01,TSLA,444.7200012207031,0.3320154782540658,,,,,,,,,,
2025-10-01,TSLA,456.55999755859375,0.026623485126352,,,,,,,,,,
2025-11-01,TSLA,444.260009765625,-0.026940572671153,,,,,,,,,,
